epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,206.793,2.43711,0.44151,0.89886,1.44925,0.00333135,0.00333135,0.00333135
2,349.017,1.46699,0.59193,0.94493,1.06094,0.00644475,0.00644475,0.00644475
3,475.298,1.35729,0.60271,0.94278,1.05296,0.00933815,0.00933815,0.00933815
4,643.624,1.26303,0.67724,0.96879,0.83212,0.00901,0.00901,0.00901
5,794.574,1.12806,0.73506,0.98142,0.69514,0.00868,0.00868,0.00868
6,933.234,1.04706,0.75416,0.98462,0.6254,0.00835,0.00835,0.00835
7,1060.37,1.00132,0.78062,0.98796,0.56091,0.00802,0.00802,0.00802
8,1184.89,0.95463,0.7957,0.99086,0.5137,0.00769,0.00769,0.00769
9,1285.33,0.9204,0.81354,0.99235,0.47833,0.00736,0.00736,0.00736
10,1387.49,0.88912,0.81978,0.99287,0.44747,0.00703,0.00703,0.00703
11,1494.87,0.85964,0.83004,0.99524,0.41921,0.0067,0.0067,0.0067
12,1596.49,0.83625,0.83212,0.99606,0.3994,0.00637,0.00637,0.00637
13,1696.39,0.81377,0.85479,0.9968,0.36822,0.00604,0.00604,0.00604
14,1794.24,0.78625,0.86036,0.99747,0.34985,0.00571,0.00571,0.00571
15,1890.35,0.7661,0.86831,0.99732,0.33444,0.00538,0.00538,0.00538
16,1990.63,0.74912,0.87091,0.99822,0.32326,0.00505,0.00505,0.00505
17,2096.36,0.7268,0.87166,0.99851,0.31546,0.00472,0.00472,0.00472
18,2194.25,0.70975,0.87426,0.99874,0.30585,0.00439,0.00439,0.00439
19,2290.98,0.68322,0.87782,0.99874,0.29788,0.00406,0.00406,0.00406
20,2387.63,0.67241,0.88043,0.99866,0.29067,0.00373,0.00373,0.00373
21,2582.89,0.65162,0.8831,0.99844,0.28531,0.0034,0.0034,0.0034
22,2744.14,0.63327,0.88496,0.99859,0.27947,0.00307,0.00307,0.00307
23,2867.88,0.60871,0.88793,0.99881,0.27228,0.00274,0.00274,0.00274
24,3026.76,0.59969,0.89016,0.99889,0.26722,0.00241,0.00241,0.00241
25,3182.03,0.57709,0.89321,0.99881,0.26107,0.00208,0.00208,0.00208
26,3325.89,0.55334,0.8964,0.99881,0.25611,0.00175,0.00175,0.00175
27,3460.87,0.5321,0.89878,0.99896,0.25037,0.00142,0.00142,0.00142
28,3598.34,0.51036,0.90146,0.99903,0.24601,0.00109,0.00109,0.00109
29,3725.02,0.4917,0.90309,0.99918,0.23982,0.00076,0.00076,0.00076
30,3858.52,0.47381,0.90517,0.99918,0.23506,0.00043,0.00043,0.00043
